Time (s),Manipulability,Joint Velocities
3.3086740970611572,1.416425343972469,"[0.9909250558946768, 0.18952289525173538, 0.3132141172981806, 0.12166562570687903, -0.25501572844894677, 0.5911085737002479, -0.1682679031658725, 0.04006193503585093, -0.7094811973406966, 0.13265991407405817]"
3.330129623413086,1.407663609415332,"[0.996213060847433, 0.18530300644544065, 0.3189478796048674, 0.12441197457452503, -0.25390550377128224, 0.5935890054163133, -0.1675369976368055, 0.056118228828098714, -0.7124550940300912, 0.11517362969803814]"
3.3635666370391846,1.398251022476684,"[1.0017587509901447, 0.18111739904954188, 0.3250805924788454, 0.12736183424408523, -0.2528426342685326, 0.5962032218902875, -0.16683788306154632, 0.0718686348149384, -0.715589012648821, 0.09784807795155091]"
3.4134421348571777,1.3882064460919985,"[1.0075663705994404, 0.1769691607467487, 0.33161115338827674, 0.13051903460493364, -0.25182646445917684, 0.5989541406296599, -0.16617003138957126, 0.08733325896845537, -0.7188864442124261, 0.08063548596826527]"
3.450895071029663,1.3775494719233068,"[1.013640057771656, 0.17286092337799236, 0.33853990592918504, 0.13388738797355762, -0.2508554652641065, 0.6018441885421174, -0.1655311948473686, 0.10252953312596937, -0.7223510061704961, 0.06348766258614748]"
3.4749438762664795,1.366300482119607,"[1.0199854888354487, 0.1687953766857705, 0.34586954173659484, 0.13747394564177148, -0.24993122768769999, 0.6048774772317823, -0.16492286224179098, 0.11747576229048011, -0.7259876763070451, 0.04635867228557113]"
3.5025815963745117,1.3544806133261365,"[1.0266077762191328, 0.16477512353272813, 0.3536032238741953, 0.14128529681305416, -0.2490532347994918, 0.6080576424433101, -0.16434488644004427, 0.13218658329452374, -0.729800656902104, 0.029202541360075267]"
3.5420944690704346,1.3421118233774851,"[1.0335124617668308, 0.16080270766576396, 0.36174574185229685, 0.14532918027934402, -0.24822140660875805, 0.6113886269501746, -0.16379711473512043, 0.14667527396436816, -0.733794798187227, 0.011972772184878317]"
3.577091693878174,1.3292169289809863,"[1.0407055123180404, 0.15688054073707272, 0.37030323277145805, 0.1496143300931085, -0.24743576160959058, 0.6148745030022595, -0.16327948183348717, 0.16095332344755303, -0.7379751856260005, -0.005377675303411999]"
3.586791515350342,1.3158196475459443,"[1.0481932569845014, 0.15301111062691147, 0.37928320821548633, 0.15415054957800448, -0.24669640180204092, 0.618519654574038, -0.16279196719788613, 0.17503046695810898, -0.7423472965790266, -0.022896728700797665]"
